same_source_D,different_source_D,delta,n_sources
0.9367083669393181,1.0307710693228471,0.09406270238352898,3
0.7426693668241002,0.9636129919041744,0.22094362508007415,3
0.718067309970375,0.9375874142145273,0.21952010424415225,3
0.33708731230453814,0.5833584670986657,0.24627115479412753,3
0.7765090897751743,0.8764265468637067,0.09991745708853239,3
0.8873113448041312,0.9146765766164651,0.027365231812333857,3
0.8088019831306296,0.9152776819746464,0.10647569884401686,3
0.6571035463186092,1.1293269310522955,0.4722233847336863,3
0.7394851275965388,1.0152999110577758,0.275814783461237,3
0.7036562416233997,0.8991092790601973,0.19545303743679765,3
0.7176944611983784,1.0418062667328243,0.32411180553444585,3
0.9310672377671194,0.9747103740710443,0.04364313630392491,3
0.7252599095396366,1.0305211541520989,0.3052612446124623,3
0.7815555078410347,0.7812773900769047,-0.00027811776413000366,3
0.9371549171917963,0.9918961831469841,0.0547412659551878,3
0.8290435474808632,0.9165352875321616,0.08749174005129845,3
0.7459335435541316,1.0761194537732934,0.3301859102191619,3
0.7402104570437864,0.8974994988421583,0.1572890417983719,3
0.7764719226794229,1.1589075207087531,0.38243559802933025,3
0.906809065154092,1.0427697867085057,0.13596072155441374,3
0.8380008545038711,0.9807307340304249,0.1427298795265538,3
0.9243081025090125,0.9613881104413148,0.03708000793230226,3
0.18621647802181548,0.548359325852277,0.36214284783046147,3
1.048737602089713,1.0324922359789361,-0.01624536611077687,3
0.5705015083871275,1.0239428730427769,0.4534413646556493,3
0.6455386485195589,1.0046542257703135,0.3591155772507546,3
0.7432707518091048,0.9722234242120509,0.22895267240294603,3
0.7353917918613604,1.0282103238064626,0.2928185319451022,3
0.6000687404111418,1.1244982953645772,0.5244295549534355,3
0.9407685470699712,0.9460532572862801,0.005284710216308941,3
0.5763126286232523,1.0462577269303395,0.4699450983070872,3
0.8271060774525543,0.9464906292875868,0.11938455183503249,3
0.9774266521477131,0.9557357145796678,-0.0216909375680453,3
0.3876812743800277,1.058132314205036,0.6704510398250083,3
0.9997345891928663,1.0799859059131827,0.08025131672031638,3
0.5033537574269746,0.9693974492206962,0.4660436917937215,3
0.40922861490841234,1.0571295663924176,0.6479009514840053,3
0.806070805716022,0.9331930735705185,0.12712226785449654,3
0.9091692846001381,0.9234197636243507,0.014250479024212614,3
0.9187032193627638,0.930446102736712,0.011742883373948243,3
0.8877255135334462,1.0044123871246644,0.11668687359121821,3
0.5054910737827482,1.1297529474381134,0.6242618736553652,3
0.7339121632991159,0.9733041246842784,0.2393919613851625,3
0.7959708138375328,1.0838087741809888,0.287837960343456,3
0.8438995396662086,1.0738961165590362,0.2299965768928276,3
0.6852613363255539,0.853400831844081,0.16813949551852714,3
0.8001086547424436,0.8579874480301614,0.05787879328771772,3
0.8559047890522948,1.0002551453094246,0.14435035625712977,3
0.9325949686489572,0.9890016735248324,0.05640670487587518,3
0.6951439956211368,0.9083447052402326,0.21320070961909576,3
0.8143388351842727,1.1072154408507273,0.29287660566645457,3
0.9116963106336982,1.0145313464747154,0.10283503584101727,3
0.833162309443702,0.9622016659854173,0.1290393565417154,3
0.6293961380397496,0.8409910685995852,0.21159493055983558,3
0.7312118361666176,0.7813165302296164,0.05010469406299889,3
0.9031219517021396,1.0363670713171298,0.1332451196149902,3
0.8535096843969574,1.0440915231167476,0.19058183871979018,3
1.0780439956099865,1.0047958475765113,-0.07324814803347524,3
0.9244620001488886,0.9967328261355964,0.07227082598670787,3
0.6039952015642589,0.9704425791824721,0.3664473776182132,3
1.043074391832633,1.0233099061822735,-0.019764485650359598,3
0.33948609089676324,0.4262011932297107,0.08671510233294744,3
0.7770509707589701,0.9260120384519501,0.14896106769298,3
0.6595190288479778,1.1224765959881986,0.46295756714022085,3
0.785874612971881,0.9801549180574967,0.19428030508561567,3
0.9193922344779885,1.003312558919332,0.08392032444134345,4
0.8559129923293478,1.0032100372940014,0.14729704496465357,3
0.6811287578850441,1.0057017559291497,0.32457299804410555,3
0.929548625436116,0.9469209032118704,0.01737227777575434,3
0.5021086110497672,1.1219585753313925,0.6198499642816253,3
0.728223837425347,1.0825945675580029,0.35437073013265585,3
0.8551606441409528,1.0776039688034182,0.2224433246624654,3
0.9745308856900489,0.9991530375969642,0.0246221519069153,3
0.589622561672908,0.7114152607921004,0.12179269911919233,3
1.0098164024488128,0.9950220895356414,-0.014794312913171348,3
0.8504112632679209,1.096023476621331,0.2456122133534101,3
0.7912209276372276,1.1531813501072317,0.36196042247000404,3
0.8095407122620067,0.9701240692038929,0.1605833569418862,3
0.9456278785790471,0.979664661422367,0.0340367828433199,3
0.702744032845334,1.059362248721561,0.356618215876227,3
0.6222427448078272,0.9272890848109784,0.30504634000315123,3
0.9410267925659798,1.0008423554922479,0.05981556292626811,3
0.9959825853470011,1.0011098000457561,0.005127214698754989,3
0.7703907002068057,0.9355347206929845,0.16514402048617882,3
0.4404489005376628,0.9418754696243253,0.5014265690866626,3
0.8241787482239797,1.0898827389449846,0.2657039907210048,3
0.8612692012976633,1.0761741223553325,0.21490492105766923,3
0.7704433615267126,0.7465564452665592,-0.02388691626015338,3
0.9343288854124534,1.0429676793698293,0.10863879395737586,3
0.7078812956422107,0.9982467194782559,0.29036542383604524,3
0.11212379179805876,1.1709566107936002,1.0588328189955414,3
0.5594659397318964,0.7646991493214055,0.20523320958950908,3
