within_source_D,across_source_D,n_sources
0.6995343632168239,0.833959182103475,3
0.6074034637875028,0.6980252265930176,3
0.7184509833653768,0.9318247636159261,3
0.6810811890496149,0.9910078048706055,3
0.6430635213851928,0.8072477976481119,3
0.6859618028004965,1.177401880423228,3
0.6318232218424479,1.0575764973958333,3
0.6997832192314996,0.8697688976923624,3
0.5956582493252224,0.7824641068776449,3
0.7510134643978542,0.5960577328999836,3
0.7570811907450358,1.053344964981079,3
0.8992217514250013,0.9828863938649496,3
1.2137837674882677,1.0626922448476155,3
1.0129076308674283,1.0936083396275837,3
0.6039956410725912,0.9525920152664185,3
1.1530827614996169,1.0528363784154255,3
0.33948620160420734,0.3135754267374674,3
0.5651481548945109,0.8589617013931274,3
0.4988291528489855,1.1585310300191243,3
0.8156872987747192,1.0860974788665771,3
0.9872150778770447,0.9308499892552694,4
0.6413114070892334,0.928184986114502,3
0.6186619202295939,0.9901365836461385,3
0.7494952811135187,0.89091690381368,3
0.6506881978776721,1.1989611387252808,3
0.6646038956112332,1.0682679812113445,3
0.794536723030938,1.135793129603068,3
0.7615580095185175,1.0265950759251912,3
0.5907325082355076,0.5966787338256836,3
0.815618846151564,0.9659487803777059,3
0.6086046828163995,1.1975109974543254,3
0.8122835291756524,1.1911776065826416,3
0.6065672371122571,0.9575268427530924,3
0.7476922074953715,0.9015611012776693,3
0.7059255573484634,1.1266361077626545,3
0.611846129099528,0.8189646402994791,3
0.8680370092391968,0.9202905495961508,3
0.8936968512005276,1.0395334164301555,3
0.7703909079233805,0.8283160527547201,3
0.4734761714935303,0.8986680507659912,3
0.6667757166756524,1.1555159489313762,3
0.6974546776877509,1.1032160917917888,3
0.558916449546814,0.4609050750732422,3
0.8458110623889499,1.057971755663554,3
0.8910337554083929,0.967418352762858,3
0.11188459396362305,0.9799796342849731,3
0.37621307373046875,0.7075458367665608,3
0.8322628471586441,1.088526725769043,3
0.7489889197879367,0.8415703376134237,3
0.5181350708007812,1.0060445467631023,3
0.8952647315131294,0.9303339322408041,3
0.3372063636779785,0.48364194234212243,3
0.8136630058288574,1.155534267425537,3
0.6661322646670871,1.2540137767791748,3
0.9892907672458225,0.9838825861612955,3
0.7674528492821587,0.8981934388478597,3
0.6268332931730481,0.8621863921483358,3
0.894943568441603,0.624883492787679,3
0.8519518507851496,1.1315171718597412,3
0.7301913367377386,1.0078098376592,3
0.7115883032480875,0.9633754889170328,3
0.5298312107721964,0.9227894941965739,3
0.7868328756756252,0.9653677940368652,3
0.7662986318270365,1.213361104329427,3
0.6543424129486084,1.1921233534812927,3
0.7849313100179036,1.098631779352824,3
0.9082934194140964,0.8618455727895101,3
0.7095840043491787,1.0767509937286377,3
0.06675317287445066,0.8169476191202799,3
0.770321422153049,1.2234312295913696,3
0.22562963054293678,0.2942787011464437,4
0.9675180779563056,0.7246395746866863,3
0.6970823049545288,1.041427493095398,4
0.8237809075249567,0.9548133214314779,3
0.6485783126619128,0.7170295715332031,3
0.6364047394858466,0.9202039241790771,3
0.7954927780010083,0.7807397047678629,3
0.9700332681337992,0.7375583648681641,3
1.0673813886112635,1.1437657674153645,3
0.4422512213389079,0.39140828450520837,3
0.6573861440022787,0.48199033737182617,3
0.9454981022410922,1.0152918100357056,3
0.8834962513711718,1.1485176086425781,3
0.7170318841934203,1.0623806715011597,3
0.7929204702377319,1.157959262530009,3
0.6200886302524142,0.6448994477589924,3
1.006057580312093,0.9271817207336426,3
0.6141005992889405,1.0778879721959431,3
0.5213235139846802,0.717776616414388,3
0.657975991566976,1.1558369795481365,3
0.8391215006510416,1.0762221813201904,3
0.6492370049158732,0.7966875235239664,3
0.7310800419913398,1.2739754517873128,3
0.8899075984954834,0.9174279371897379,4
0.6755556397967868,0.9798097213109335,3
0.7537063095304702,1.0870052178700764,3
0.5526627037260267,1.2182799577713013,3
0.7511203818851047,0.9417545000712076,3
0.7815344068739148,1.0442496140797932,3
0.7877423564592997,1.0809465646743774,3
0.6244532267252604,1.0582129160563152,3
0.793836752573649,0.8439163764317831,3
0.6210166745715671,0.9568266868591309,3
0.7295961446232265,0.8882144689559937,3
0.8747035529878405,0.748805046081543,3
0.8150667481952243,1.1332621574401855,3
0.8152615626653036,0.9524625937143961,3
0.6214071379767524,0.9680145581563314,3
0.8145496977700127,1.1270661354064941,3
0.6932151714960734,0.9823975563049316,3
0.7065059873792859,0.5208334922790527,3
0.5224536392423841,0.8234280745188395,3
0.9745856702327729,1.048581878344218,4
0.6371353599760268,1.162595550219218,3
0.5716189940770467,0.702357292175293,3
0.9661038120587667,1.2077437043190002,3
1.1081539789835613,0.90458877881368,3
0.6985624101426867,1.1266292730967205,3
0.689540954872414,1.0670286417007446,3
1.0286772516038682,1.2140079339345295,3
0.5499764415952894,1.1315386295318604,3
1.1433029969533284,1.0512410004933674,3
0.7878040105104447,0.9656830628712972,4
0.8856049709849887,1.1622902949651082,3
0.7344037797715929,1.243474264939626,3
0.45860436757405604,1.109568198521932,3
0.8770441545380486,0.8804279565811157,3
0.9201628698243036,0.8738732735315958,3
0.5685657421747843,0.9053412278493246,4
0.6805258724424573,1.2698390086491902,3
0.6370110909144083,1.1895659764607747,3
0.6076869434780544,1.0302760203679402,3
0.9496742619408501,1.0613083839416504,3
0.7250902891159058,0.9691964785257975,3
0.943355123202006,0.922181248664856,3
0.8160976568857828,0.6519730885823567,3
0.6958895789252387,0.777265707651774,3
0.8266430563396878,1.118793249130249,3
0.7030890319082473,1.026443084081014,3
0.6410418219036527,0.9401143391927084,3
0.42197216881646044,0.7067795594533284,3
0.8020626306533813,1.0097063382466633,3
0.8500543766551548,1.0335569381713867,3
0.7798166036605835,0.9282155434290568,4
0.7964827087190415,0.8846483627955118,3
0.3597208261489868,0.9009986718495687,3
