compound,n_sources,raw_instability,ablated_instability
JCP2022_046469,5,0.8034082306465596,0.7858624314607269
JCP2022_046479,5,0.9397138256590709,0.9538225314789328
JCP2022_046480,5,0.9300600928768447,0.921419760713075
JCP2022_046482,5,1.0537582827136707,1.052507810674645
JCP2022_046483,5,1.0385166333633746,1.0403997553487236
JCP2022_046489,5,1.0031168683230671,1.00307465219341
JCP2022_046501,5,0.8820872918516887,0.8877107708665285
JCP2022_046504,5,0.30919399164468864,0.30556416136112696
JCP2022_046507,5,1.0844153523870013,1.0836832965767502
JCP2022_046508,5,0.9869505393124327,0.9885993816522707
JCP2022_046514,5,1.0051258312490994,1.0123310927480675
JCP2022_046521,5,0.7613163546023072,0.7838716159841066
JCP2022_046522,5,0.8909866416955713,0.8935803765310039
JCP2022_046523,5,0.8639960494151143,0.862601171294932
JCP2022_046538,5,0.9130957070303467,0.9113424923436426
JCP2022_046540,5,0.7726671789305402,0.7740945472492428
JCP2022_046542,5,0.8705536022263243,0.8743955073019999
JCP2022_046546,5,0.7916434357520037,0.7967308614477234
JCP2022_046547,5,1.0553167482183703,1.05445925628799
JCP2022_046550,5,1.050488060887701,1.0486241463535333
JCP2022_046551,5,0.9615232711407304,0.9664386454357702
JCP2022_046556,5,1.0280299067893628,1.0273597743514447
JCP2022_046558,5,0.7943715059288305,0.7860182696539109
JCP2022_046564,5,0.9578050537196541,0.9574060912985366
JCP2022_046567,5,1.0873079729551725,1.0968993354787344
JCP2022_046568,5,0.9098573524313395,0.9213668647680436
JCP2022_046569,5,0.7271667581521687,0.7209401787409202
JCP2022_046570,5,0.9646754685476563,0.9661479178639137
JCP2022_046575,5,0.9042027487904587,0.9107902094883022
JCP2022_046579,5,1.0671705157580393,1.0770400813354695
JCP2022_046580,5,0.9120130850909807,0.9091393492263287
JCP2022_046581,5,1.015942889275279,1.0112818507613703
JCP2022_046587,5,1.0130341461556485,1.0092148215247931
JCP2022_046590,5,1.0386361837075102,1.0518807617460522
JCP2022_046594,5,0.6744141813414247,0.6869720019479418
JCP2022_046602,5,0.9653774878355875,0.9589536129186369
JCP2022_046612,5,0.5618350801269985,0.5390945163249932
JCP2022_046613,5,0.9204815272783913,0.9262562277721391
JCP2022_046616,5,0.9021875447338668,0.8847280171680025
JCP2022_046630,5,0.997224784697982,1.0022173314656382
JCP2022_046633,5,0.9800381413118349,0.9911908472950395
JCP2022_046642,5,1.0101699750559356,1.0253940677787772
JCP2022_046649,7,1.016162841989297,1.0202380761536078
JCP2022_046651,5,0.6356353183524792,0.6135680422779768
JCP2022_046658,5,1.01060331434627,1.0080962753883285
JCP2022_046659,5,0.8077552350216035,0.7918555402383987
JCP2022_046663,7,0.8443809533915717,0.840942787099936
JCP2022_046666,5,0.8113099730629536,0.7955348220555573
JCP2022_046667,5,1.0118828540806726,1.0089817352148716
JCP2022_046685,5,0.859976079671213,0.8512829167979974
JCP2022_046692,5,0.848841820273343,0.8558458735059437
JCP2022_046695,5,0.8138283121011823,0.8209044813318871
JCP2022_046698,5,0.902742523827359,0.9155752505633931
JCP2022_046704,5,0.7622792711675943,0.7596106999042493
JCP2022_046707,5,0.9271348021521827,0.9382865324584713
JCP2022_046711,5,0.9328640614284122,0.9321533897730039
JCP2022_046719,5,0.8931789819396843,0.8834220309358974
JCP2022_046720,5,0.9839000752078224,0.9891612644668037
JCP2022_046721,5,0.8936075115484527,0.8829741286918186
JCP2022_046725,5,0.8023028554821151,0.7959356744315352
JCP2022_046727,5,0.8328870366745564,0.8333390755479523
JCP2022_046733,5,0.9941386827853209,0.9925525502848441
JCP2022_046736,5,0.9868760782954021,0.9952090801981188
JCP2022_046745,5,0.9571714534746047,0.9671040452462069
JCP2022_046751,5,1.0059965211073854,1.0111109696882117
JCP2022_046756,5,0.977464722582244,0.9703090609166668
JCP2022_046771,5,1.0070513179663612,1.0107631929916199
JCP2022_046772,5,0.7204513243312313,0.7266780941087397
JCP2022_046781,5,0.9978030385336154,0.9916354037189566
JCP2022_046783,5,1.0291410709991342,1.0425211656475644
JCP2022_046786,7,1.0110730614168841,1.015348714092742
JCP2022_046788,5,0.9620693402923337,0.9661924031106816
JCP2022_046797,5,0.8488540529608654,0.8571000273238353
JCP2022_046798,5,0.8604258748741905,0.843555330730217
JCP2022_046803,6,1.0306583347898497,1.032780768298648
JCP2022_046805,5,0.9311704206769025,0.9221957150205916
JCP2022_046809,5,0.9938888930825398,0.9947061274422415
JCP2022_046812,5,0.6144097012753809,0.6216429120826412
JCP2022_046821,5,0.8570662194353497,0.8504252709170348
JCP2022_046823,5,0.9606035292792959,0.9669120871200422
JCP2022_046827,5,0.8401430825392115,0.8320946591893762
JCP2022_046833,5,0.7055992301302796,0.6911917198800122
JCP2022_046834,5,1.0748031645707135,1.079554677686134
JCP2022_046838,5,0.8935648051586972,0.8908837332890397
JCP2022_046842,5,0.7786506056931918,0.7820128148898928
JCP2022_046846,5,0.8335149010692726,0.8223274799210134
JCP2022_046854,5,1.0187222654285408,1.0214035271298767
JCP2022_046862,5,0.9298248061087628,0.9319085862214398
JCP2022_046865,5,0.9792439553553597,0.9805251366022575
JCP2022_046870,5,1.0497988316963032,1.0510726906272865
JCP2022_046872,6,0.9007106771844393,0.8951608529908351
JCP2022_046885,5,0.9908774228764962,1.0035195359090388
JCP2022_046893,5,0.8756061398678121,0.8738952001390278
JCP2022_046896,6,0.9911327116215489,0.9935200639327786
JCP2022_046897,5,1.0409679092037638,1.0391198362350984
JCP2022_046898,5,1.0619824058257559,1.0708861986000668
JCP2022_046903,5,0.9836900356169839,0.9783174022322282
JCP2022_046904,5,0.9974088112000887,0.9951187079871209
JCP2022_046905,5,1.1016177754320136,1.103838246077947
JCP2022_046910,5,1.0166068324817061,1.0110613109188125
JCP2022_046912,5,0.9471763096500674,0.9425074143110203
JCP2022_046919,5,0.9968102854830707,1.003353044799804
JCP2022_046921,5,0.838386789148786,0.8335573168852346
JCP2022_046924,5,0.9470202082459422,0.941995118226005
JCP2022_046925,5,1.0236913998576127,1.0288145006903122
JCP2022_046934,5,0.9070950508644794,0.9053036060434125
JCP2022_046938,5,0.8979752755657933,0.9033483429291803
JCP2022_046941,5,0.9820199547212369,0.9873726418471483
JCP2022_046943,5,1.0281471218666267,1.0322910699410208
JCP2022_046944,5,0.3538126490295014,0.3581368435027805
JCP2022_046951,5,0.9072371220521397,0.9003681123773232
JCP2022_046956,5,0.7342513902367012,0.7352896075192378
JCP2022_046958,5,0.9451023087892618,0.9419459391119862
JCP2022_046970,5,0.842643075669852,0.8393180958594803
JCP2022_046980,5,0.9788264710117709,0.9854215014118555
JCP2022_046984,5,0.9517439481341812,0.9521042037924239
JCP2022_046986,5,1.0420700354411592,1.0446209046425465
JCP2022_046991,5,1.0112630421503808,1.0092245861476674
JCP2022_046999,5,0.8724749599648505,0.87616249190101
JCP2022_047005,5,1.0225790659173382,1.0197689629006395
JCP2022_047006,5,1.0189019430942066,1.0238337527849968
JCP2022_047007,5,0.9985361289312555,1.0081165205178206
JCP2022_047019,5,0.7270921752639622,0.7224709907885589
JCP2022_047024,5,0.947388213911671,0.9590085567575969
JCP2022_047027,5,0.9022686071116129,0.8925703899740063
JCP2022_047031,5,0.8289926410003796,0.8156178649930815
JCP2022_047035,5,1.0014214298721917,1.0080087901725794
JCP2022_047049,5,0.9448280530076756,0.9530690117727111
JCP2022_047050,5,0.8729442523685971,0.864849400336447
JCP2022_047052,5,1.0157808480319037,1.0195267132548875
JCP2022_047053,6,1.079541527408797,1.0879524732866672
JCP2022_047058,5,1.0051859126187996,1.0089352402530352
JCP2022_047059,5,0.8625445818736955,0.8682995732115294
JCP2022_047062,7,0.914619866960806,0.9151747265708889
JCP2022_047063,5,1.0436371835429934,1.0574067710856623
JCP2022_047064,5,0.8319958764951432,0.8323302560138116
JCP2022_047072,5,0.8761318029582014,0.8746885453585225
JCP2022_047073,5,0.6997020285399547,0.6988403860234605
JCP2022_047075,5,1.1314373466394994,1.1359431590898854
JCP2022_047081,5,0.8857381327154048,0.8841633680577663
JCP2022_047082,5,0.9614147325093173,0.9921053085854323
JCP2022_047083,5,0.9452945454243742,0.9459897984597639
JCP2022_047093,5,1.0276648149910796,1.0349446404660243
JCP2022_047101,5,0.8383019365992723,0.887782035312654
JCP2022_047117,5,0.9912912158022088,0.9963793922105862
JCP2022_047122,5,0.8563202539398773,0.8471450426306589
JCP2022_047128,6,0.948679769246402,0.9452504471897075
JCP2022_047142,6,0.9685753183479191,0.9646955718969417
JCP2022_047156,5,0.9154284232027744,0.9142161738091495
JCP2022_047159,5,0.9260888747189936,0.9257951515050482
JCP2022_047161,5,0.9049987567465274,0.9096545427584228
JCP2022_047162,5,0.7492804538400483,0.7459362495473734
JCP2022_047166,5,0.8283013535223229,0.8339619481808827
JCP2022_047168,5,1.0394188703183553,1.039462365509189
JCP2022_047172,5,1.037383289554286,1.0341323382834025
JCP2022_047173,5,1.0428289629556287,1.0503951998433738
JCP2022_047175,6,0.9245553090525286,0.9226445783572809
JCP2022_047179,5,0.8721380179386914,0.8719068554538809
JCP2022_047180,5,1.0573634075524627,1.0538238052342774
